,Season,team,team_full_name,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,winner
19,2024,GSW,Golden State Warriors,27.166666666666668,5.833333333333333,207.55555555555554,77.55555555555556,3000,51915615,3352440.0,206814776,2,17,5,0
20,2023,HOU,Houston Rockets,23.61111111111111,2.5555555555555554,221.0,78.72222222222223,10000,40866760,3359160.0,136542494,1,24,2,0
21,2024,HOU,Houston Rockets,25.823529411764707,3.823529411764706,221.05882352941177,78.82352941176471,10000,40806300,3531720.0,153204959,1,21,2,0
22,2023,IND,Indiana Pacers,25.4,3.55,212.1,78.5,5000,35069500,2573760.0,122145349,1,24,3,0
23,2024,IND,Indiana Pacers,25.5,3.8636363636363638,214.77272727272728,78.68181818181819,5000,37893408,2696280.0,145587839,1,24,3,0
24,2023,LAC,Los Angeles Clippers,28.238095238095237,6.857142857142857,211.42857142857142,78.28571428571429,3000,42492492,2798291.0,191189228,2,18,0,0
25,2024,LAC,Los Angeles Clippers,28.38095238095238,6.714285714285714,214.8095238095238,78.52380952380952,3000,45640084,3039993.5,200060815,2,18,0,0
26,2023,LAL,Los Angeles Lakers,26.692307692307693,5.346153846153846,212.03846153846155,78.11538461538461,3000,44474988,1857405.0,167412786,2,18,12,0
27,2024,LAL,Los Angeles Lakers,25.61904761904762,4.523809523809524,214.52380952380952,79.04761904761905,3000,47607350,2165000.0,168113984,2,19,12,0
28,2023,MEM,Memphis Grizzlies,24.05263157894737,3.0526315789473686,218.31578947368422,77.63157894736842,4000,28946605,2444320.0,126788905,1,19,0,0
29,2024,MEM,Memphis Grizzlies,24.96969696969697,3.0606060606060606,214.93939393939394,77.93939393939394,4000,34005250,2400000.0,160019663,1,24,0,0
30,2023,MIA,Miami Heat,27.7,5.55,219.6,78.8,4000,37653300,1815677.0,149093861,2,20,3,0
31,2024,MIA,Miami Heat,27.38095238095238,5.666666666666667,211.33333333333334,78.0,4000,45183960,2352000.0,174695832,1,20,3,0
32,2023,MIL,Milwaukee Bucks,29.476190476190474,7.476190476190476,220.38095238095238,78.85714285714286,1100,42492492,2485200.0,178933725,2,17,2,0
33,2024,MIL,Milwaukee Bucks,28.285714285714285,6.714285714285714,217.23809523809524,78.38095238095238,1100,45640084,2019706.0,182226590,2,18,2,0
34,2023,MIN,Minnesota Timberwolves,25.5,4.4,214.6,78.15,850,38172414,1930681.0,143519708,2,19,0,0
35,2024,MIN,Minnesota Timberwolves,25.894736842105264,5.105263157894737,216.05263157894737,78.73684210526316,850,41000000,2320000.0,164428789,2,19,0,0
36,2023,NOP,New Orleans Pelicans,25.58823529411765,4.294117647058823,211.64705882352942,78.41176470588235,5000,33333333,3605400.0,147340203,2,18,0,0
37,2024,NOP,New Orleans Pelicans,25.2,3.35,212.5,78.35,5000,35802469,1836096.0,164937685,3,20,0,0
38,2023,NYK,New York Knicks,25.0,4.055555555555555,216.27777777777777,78.11111111111111,725,27733332,1601680.0,146839447,0,24,2,0
39,2024,NYK,New York Knicks,26.807692307692307,5.0,216.5,78.46153846153847,725,28226880,1836096.0,165734884,0,25,2,0
40,2023,OKC,Oklahoma City Thunder,23.210526315789473,2.1052631578947367,210.1578947368421,79.21052631578948,900,30913750,3046200.0,148489515,1,24,0,0
41,2024,OKC,Oklahoma City Thunder,24.90909090909091,3.409090909090909,209.63636363636363,79.04545454545455,900,33386850,2588400.0,160502705,2,23,0,0
42,2023,ORL,Orlando Magic,23.85,3.2,220.6,79.4,8000,17400000,3433320.0,125177282,0,21,0,0
43,2024,ORL,Orlando Magic,24.444444444444443,3.3333333333333335,221.83333333333334,79.27777777777777,8000,17400000,6392625.5,130964229,0,18,0,0
44,2023,PHI,Philadelphia 76ers,25.952380952380953,4.714285714285714,217.9047619047619,78.28571428571429,1400,37633050,2125200.0,149571525,3,18,2,0
45,2024,PHI,Philadelphia 76ers,27.821428571428573,6.428571428571429,214.10714285714286,78.10714285714286,1400,47607350,2019706.0,166735219,2,23,2,0
46,2023,PHO,Phoenix Suns,27.6,5.75,216.0,78.4,3500,44119845,1836090.0,172327721,1,19,0,0
47,2024,PHO,Phoenix Suns,27.681818181818183,6.5,223.27272727272728,78.22727272727273,3500,47649433,2623236.5,191331329,2,20,0,0
48,2023,POR,Portland Trail Blazers,24.5,3.3333333333333335,209.91666666666666,78.20833333333333,100000,42492492,1836090.0,144235655,1,24,1,0
49,2024,POR,Portland Trail Blazers,24.272727272727273,2.3181818181818183,215.1818181818182,78.9090909090909,100000,32459438,1951220.0,165919847,0,25,1,0
50,2023,SAC,Sacramento Kings,25.65,4.05,216.1,78.9,6600,30351780,1906496.5,134629166,1,23,0,0
51,2024,SAC,Sacramento Kings,26.15,4.1,212.85,78.9,6600,32600060,2019706.0,149993550,2,23,0,0
52,2023,SAS,San Antonio Spurs,23.652173913043477,3.0,218.1304347826087,78.8695652173913,10000,13750000,2600000.0,101438004,0,25,5,0
53,2024,SAS,San Antonio Spurs,23.4,2.55,214.9,78.95,10000,20000000,4341600.0,140908582,0,25,5,0
54,2023,TOR,Toronto Raptors,25.75,4.3,213.85,78.95,50000,35448672,1836090.0,149485166,1,24,1,0
55,2024,TOR,Toronto Raptors,25.9,4.266666666666667,208.33333333333334,77.96666666666667,50000,23883929,3000000.0,161292652,0,25,1,0
56,2023,UTA,Utah Jazz,25.695652173913043,4.3478260869565215,220.95652173913044,78.69565217391305,50000,46295265,2298385.0,147924401,1,24,0,0
57,2024,UTA,Utah Jazz,24.238095238095237,3.1904761904761907,220.52380952380952,79.04761904761905,50000,25340000,2586665.0,131557410,0,23,0,0
58,2023,WAS,Washington Wizards,25.565217391304348,3.347826086956522,209.2173913043478,78.69565217391305,100000,43279250,1836090.0,150006207,2,21,0,0
59,2024,WAS,Washington Wizards,25.166666666666668,3.875,214.5,79.125,100000,27455357,2337720.0,148282937,0,25,0,0
